,nivel_experiencia,tipo_emprego,titulo_trabalho,salario_em_dolar,residencia_empregado,percentual_remoto,local_empresa,tamanho_empresa
518,SE,FT,Data Analyst,120250,US,100,US,M
519,SE,FT,Data Scientist,275300,US,100,US,M
520,SE,FT,Data Scientist,183000,US,100,US,M
521,SE,FT,Data Architect,170000,US,100,US,M
522,SE,FT,Data Architect,125000,US,100,US,M
523,MI,FT,Data Architect,167500,US,0,US,M
524,MI,FT,Data Architect,106500,US,0,US,M
525,SE,FT,Research Scientist,250000,US,0,US,M
526,SE,FT,Research Scientist,200000,US,0,US,M
527,MI,FT,Machine Learning Engineer,135000,US,50,US,L
528,SE,FT,AI Scientist,423834,IL,0,IL,L
529,SE,FT,Machine Learning Engineer,216000,US,100,US,M
530,SE,FT,Machine Learning Engineer,184000,US,100,US,M
531,SE,FT,Data Engineer,180000,US,100,US,M
532,SE,FT,Data Engineer,165000,US,100,US,M
533,SE,FT,Data Scientist,185900,US,0,US,M
534,SE,FT,Data Scientist,129300,US,0,US,M
535,SE,FT,Data Engineer,145000,US,0,US,M
536,SE,FT,Data Engineer,120000,US,0,US,M
537,MI,FT,Data Engineer,143865,US,0,US,M
538,MI,FT,Data Engineer,115092,US,0,US,M
539,MI,FT,Machine Learning Engineer,130000,US,0,US,M
540,MI,FT,Machine Learning Engineer,90000,US,0,US,M
541,SE,FT,Data Scientist,173000,US,100,US,M
542,SE,FT,Data Scientist,132000,US,100,US,M
543,SE,FT,Data Analyst,208049,US,0,US,M
544,SE,FT,Data Analyst,128500,US,0,US,M
545,SE,FT,Analytics Engineer,179820,US,0,US,M
546,SE,FT,Analytics Engineer,143860,US,0,US,M
547,SE,FT,Data Engineer,167500,US,0,US,M
548,SE,FT,Data Engineer,106500,US,0,US,M
549,SE,FT,Data Scientist,275300,US,100,US,M
550,SE,FT,Data Scientist,183500,US,100,US,M
551,MI,FT,Data Engineer,149600,US,0,US,M
552,MI,FT,Data Engineer,102000,US,0,US,M
553,EX,FT,Data Scientist,145000,US,0,US,M
554,EX,FT,Data Scientist,100000,US,0,US,M
555,SE,FT,Data Analyst,190000,US,100,US,M
556,SE,FT,Data Analyst,95000,US,100,US,M
557,SE,FT,Data Analyst,153600,US,0,US,M
558,SE,FT,Data Analyst,106800,US,0,US,M
559,MI,FT,Data Scientist,96578,IE,0,IE,M
560,MI,FT,Data Scientist,80481,IE,0,IE,M
561,MI,FT,Data Analyst,128000,US,0,US,M
562,MI,FT,Data Analyst,85000,US,0,US,M
563,MI,FT,Data Engineer,151000,US,0,US,M
564,MI,FT,Data Engineer,140000,US,0,US,M
565,SE,FT,Data Scientist,275300,US,100,US,M
566,SE,FT,Data Scientist,183500,US,100,US,M
567,SE,FT,Machine Learning Scientist,220000,US,0,US,M
568,SE,FT,Machine Learning Scientist,170000,US,0,US,M
569,SE,FT,Data Analyst,135000,US,0,US,M
570,SE,FT,Data Analyst,105500,US,0,US,M
571,SE,FT,Data Analyst,100000,US,100,US,M
572,SE,FT,Data Analyst,80000,US,100,US,M
573,EN,FT,Autonomous Vehicle Technician,7000,GH,0,GH,S
574,EN,FT,Applied Machine Learning Scientist,42923,DE,50,DE,M
575,SE,FT,Data Engineer,160000,CA,100,CA,M
576,SE,FT,Data Engineer,145000,CA,100,CA,M
577,MI,FT,Data Analyst,154000,US,0,US,M
578,MI,FT,Data Analyst,143000,US,0,US,M
579,MI,FT,Data Scientist,78990,GB,0,GB,M
580,MI,FT,Data Scientist,51039,GB,0,GB,M
581,EN,FT,Data Scientist,190000,US,0,US,M
582,EN,FT,Data Scientist,120000,US,0,US,M
583,MI,FT,Data Scientist,85066,GB,0,GB,M
584,MI,FT,Data Scientist,51039,GB,0,GB,M
585,MI,FT,Data Scientist,109371,GB,0,GB,M
586,MI,FT,Data Scientist,72914,GB,0,GB,M
587,SE,FT,Data Engineer,150000,US,0,US,M
588,SE,FT,Data Engineer,111000,US,0,US,M
589,EX,FT,Data Engineer,265000,US,0,US,M
590,EX,FT,Data Engineer,235000,US,0,US,M
591,EN,FT,Data Scientist,121093,CH,50,CH,L
592,MI,FT,Data Scientist,73546,DE,100,DE,M
593,SE,FT,Data Engineer,160000,US,100,US,M
594,SE,FT,Data Engineer,130000,US,100,US,M
595,MI,FT,Data Engineer,75000,US,100,US,M
596,MI,FT,Data Engineer,60400,US,100,US,M
597,EN,FT,Data Analyst,85000,US,100,US,M
598,EN,FT,Data Analyst,75000,US,100,US,M
599,SE,FT,Data Engineer,252000,US,0,US,M
600,SE,FT,Data Engineer,129000,US,0,US,M
601,EN,FT,Data Engineer,92700,US,100,US,M
602,EN,FT,Data Engineer,61800,US,100,US,M
603,SE,FT,Lead Data Scientist,172309,IE,100,IE,L
604,MI,FT,Data Scientist,60093,AT,100,DE,M
605,MI,FT,Data Analyst,83500,US,100,US,M
606,MI,FT,Data Analyst,52500,US,100,US,M
607,SE,FT,Data Scientist,201036,US,0,US,M
608,SE,FT,Data Scientist,134024,US,0,US,M
609,SE,FT,Data Analyst,165000,US,100,US,M
610,SE,FT,Data Analyst,140000,US,100,US,M
611,EN,FT,Data Engineer,62000,US,100,US,M
612,EN,FT,Data Engineer,58000,US,100,US,M
613,SE,FT,Data Scientist,172000,US,0,US,M
614,SE,FT,Data Scientist,115000,US,0,US,M
615,EN,FT,Data Engineer,125000,US,0,US,M
616,EN,FT,Data Engineer,90000,US,0,US,M
617,SE,FT,Data Engineer,163800,US,0,US,M
618,SE,FT,Data Engineer,126000,US,0,US,M
619,SE,FT,Data Scientist,237000,US,100,US,M
620,SE,FT,Data Scientist,145000,US,100,US,M
621,MI,FT,Data Engineer,90000,US,100,US,M
622,MI,FT,Data Engineer,90000,US,100,US,M
623,SE,FT,Data Engineer,139500,US,0,US,M
624,SE,FT,Data Engineer,109400,US,0,US,M
625,SE,FT,Data Scientist,258000,CA,0,CA,M
626,SE,FT,Data Scientist,190000,CA,0,CA,M
627,MI,FT,Data Engineer,145000,US,0,US,M
628,MI,FT,Data Engineer,120000,US,0,US,M
629,SE,FT,Data Engineer,205600,US,0,US,L
630,SE,FT,Data Engineer,105700,US,0,US,L
631,SE,FT,Data Engineer,252000,US,0,US,M
632,SE,FT,Data Engineer,129000,US,0,US,M
633,SE,FT,Data Scientist,239748,US,0,US,M
634,SE,FT,Data Scientist,159832,US,0,US,M
635,SE,FT,Data Scientist,186300,US,100,US,M
636,SE,FT,Data Scientist,102500,US,100,US,M
637,SE,FT,Data Engineer,165000,US,0,US,M
638,SE,FT,Data Engineer,132300,US,0,US,M
639,SE,FT,Data Scientist,190000,US,0,US,M
640,SE,FT,Data Scientist,126000,US,0,US,M
641,SE,FT,Data Architect,149040,US,100,US,M
642,SE,FT,Data Architect,113900,US,100,US,M
643,SE,FT,Data Engineer,153600,US,100,US,M
644,SE,FT,Data Engineer,106800,US,100,US,M
645,SE,FT,Data Engineer,172600,US,100,US,M
646,SE,FT,Data Engineer,107900,US,100,US,M
647,SE,FT,Data Analyst,180180,US,0,US,M
648,SE,FT,Data Analyst,106020,US,0,US,M
649,SE,FT,Data Architect,376080,US,100,US,M
650,SE,FT,Data Architect,213120,US,100,US,M
651,SE,FT,Data Analyst,153600,US,0,US,M
652,SE,FT,Data Analyst,100500,US,0,US,M
653,SE,FT,Data Analyst,206500,US,100,US,M
654,SE,FT,Data Analyst,121600,US,100,US,M
655,SE,FT,Data Engineer,260000,US,0,US,M
656,SE,FT,Data Engineer,225000,US,0,US,M
657,EX,FT,Data Engineer,194500,US,0,US,M
658,EX,FT,Data Engineer,115500,US,0,US,M
659,SE,FT,Cloud Database Engineer,170000,US,100,US,L
660,SE,FT,Applied Machine Learning Scientist,90000,US,100,US,L
661,EN,FT,Data Analyst,95000,US,100,US,M
662,EN,FT,Data Analyst,70000,US,100,US,M
663,SE,FT,Data Engineer,275000,US,0,US,M
664,SE,FT,Data Engineer,160000,US,0,US,M
665,SE,FT,Data Analyst,115934,US,100,US,M
666,SE,FT,Data Analyst,81666,US,100,US,M
667,SE,FT,Data Scientist,175000,US,0,US,M
668,SE,FT,Data Scientist,120000,US,0,US,M
669,SE,FT,Machine Learning Engineer,150000,US,100,US,M
670,SE,FT,Machine Learning Engineer,120000,US,100,US,M
671,SE,FT,Research Engineer,200000,US,0,US,M
672,SE,FT,Research Engineer,175000,US,0,US,M
673,MI,FT,Data Analyst,206000,US,0,US,M
674,MI,FT,Data Analyst,130000,US,0,US,M
675,SE,FT,Data Architect,138000,GB,100,GB,M
676,SE,FT,Data Architect,92000,GB,100,GB,M
677,SE,FT,Data Manager,65000,CO,0,CO,M
678,SE,FT,Data Manager,48000,CO,0,CO,M
679,SE,FT,Data Analyst,110000,US,100,US,M
680,SE,FT,Data Analyst,75000,US,100,US,M
681,SE,FT,Analytics Engineer,130000,US,0,US,M
682,SE,FT,Analytics Engineer,87000,US,0,US,M
683,MI,FT,Data Analyst,160000,US,0,US,M
684,MI,FT,Data Analyst,112000,US,0,US,M
685,MI,FT,Data Engineer,162500,US,0,US,M
686,MI,FT,Data Engineer,130000,US,0,US,M
687,SE,FT,Data Science Manager,299500,US,0,US,M
688,SE,FT,Data Science Manager,245100,US,0,US,M
689,MI,FT,Data Scientist,145000,US,0,US,M
690,MI,FT,Data Scientist,100000,US,0,US,M
691,SE,FT,Data Engineer,147100,US,0,US,M
692,SE,FT,Data Engineer,90700,US,0,US,M
693,EN,FT,Data Engineer,115100,US,0,US,M
694,EN,FT,Data Engineer,73900,US,0,US,M
695,SE,FT,Data Engineer,168400,US,0,US,M
696,SE,FT,Data Engineer,105200,US,0,US,M
697,SE,FT,Data Scientist,210000,US,0,US,M
698,SE,FT,Data Scientist,160000,US,0,US,M
699,MI,FT,Data Scientist,145000,US,0,US,M
700,MI,FT,Data Scientist,100000,US,0,US,M
701,SE,FT,Applied Scientist,222200,US,0,US,L
702,SE,FT,Applied Scientist,136000,US,0,US,L
703,MI,FT,Data Analyst,100000,US,0,US,M
704,MI,FT,Data Analyst,85000,US,0,US,M
705,MI,FT,Data Engineer,85066,GB,100,GB,M
706,MI,FT,Data Engineer,57723,GB,100,GB,M
707,EX,FT,Data Scientist,200000,US,0,US,M
708,EX,FT,Data Scientist,145000,US,0,US,M
709,MI,FT,Data Engineer,140000,US,0,US,M
710,MI,FT,Data Engineer,95000,US,0,US,M
711,SE,FT,Data Analyst,185000,US,100,US,M
712,SE,FT,Data Analyst,120250,US,100,US,M
713,MI,FT,Financial Data Analyst,130000,US,100,US,L
714,SE,FT,Data Scientist,205000,US,0,US,M
715,SE,FT,Data Scientist,140000,US,0,US,M
716,SE,FT,Data Scientist,297300,US,100,US,M
717,SE,FT,Data Scientist,198200,US,100,US,M
718,SE,FT,Research Scientist,141288,US,0,US,M
719,SE,FT,Research Scientist,94192,US,0,US,M
720,SE,FT,Data Infrastructure Engineer,184000,US,100,US,M
721,SE,FT,Data Infrastructure Engineer,143000,US,100,US,M
722,SE,FT,Data Analyst,70000,US,0,US,M
723,SE,FT,Data Analyst,55000,US,0,US,M
724,SE,FT,Analytics Engineer,275300,US,100,US,M
725,SE,FT,Analytics Engineer,183500,US,100,US,M
726,MI,FT,Data Analyst,75000,US,100,US,M
727,MI,FT,Data Analyst,65000,US,100,US,M
728,MI,FT,ML Engineer,160000,US,0,US,M
729,MI,FT,ML Engineer,147000,US,0,US,M
730,SE,FT,Data Architect,149040,US,100,US,M
731,SE,FT,Data Architect,113900,US,100,US,M
732,MI,FT,Software Data Engineer,75020,SG,100,SG,L
733,SE,FT,Data Analyst,180180,US,0,US,M
734,SE,FT,Data Analyst,106020,US,0,US,M
735,MI,FT,Data Scientist,17022,IN,100,IN,L
736,EN,FT,AI Programmer,70000,IN,0,AU,L
737,EN,FT,AI Developer,80000,SE,50,SE,M
738,MI,FT,Lead Data Analyst,18238,IN,50,IN,L
739,MI,FT,Machine Learning Engineer,250000,US,0,US,M
740,MI,FT,Machine Learning Engineer,150000,US,0,US,M
741,SE,FT,Data Engineer,139500,US,0,US,M
742,SE,FT,Data Engineer,109400,US,0,US,M
743,SE,FT,Data Scientist,105000,US,0,US,M
744,SE,FT,Data Scientist,70000,US,0,US,M
745,EX,FT,Data Engineer,210914,US,100,US,M
746,EX,FT,Data Engineer,116704,US,100,US,M
747,EN,FT,Research Scientist,150000,US,0,US,M
748,EN,FT,Research Scientist,100000,US,0,US,M
749,SE,FT,Data Engineer,146000,US,0,US,M
750,SE,FT,Data Engineer,75000,US,0,US,M
751,EN,FT,Data Analyst,75000,US,100,US,M
752,EN,FT,Data Analyst,60000,US,100,US,M
753,MI,FT,Analytics Engineer,185700,US,0,US,M
754,MI,FT,Analytics Engineer,165000,US,0,US,M
755,SE,FT,Data Engineer,160000,US,100,US,M
756,SE,FT,Data Engineer,130000,US,100,US,M
757,SE,FT,Data Analyst,169000,US,0,US,M
758,SE,FT,Data Analyst,110600,US,0,US,M
759,SE,FT,Data Operations Engineer,193000,US,100,US,M
760,SE,FT,Data Operations Engineer,136850,US,100,US,M
761,SE,FT,Machine Learning Engineer,139500,US,0,US,M
762,SE,FT,Machine Learning Engineer,109400,US,0,US,M
763,SE,FT,Data Engineer,276000,US,100,US,M
764,SE,FT,Data Engineer,178500,US,100,US,M
765,MI,FT,Data Scientist,59020,ES,0,ES,M
766,MI,FT,Data Scientist,48289,ES,0,ES,M
767,MI,FT,Data Engineer,75116,SI,100,SI,M
768,MI,FT,Data Engineer,48289,SI,100,SI,M
769,SE,FT,Machine Learning Engineer,195652,GB,0,GB,M
770,SE,FT,Machine Learning Engineer,101228,GB,0,GB,M
771,SE,FT,Data Engineer,136956,GB,0,GB,M
772,SE,FT,Data Engineer,101228,GB,0,GB,M
773,SE,FT,Data Engineer,252000,US,0,US,M
774,SE,FT,Data Engineer,129000,US,0,US,M
775,SE,FT,BI Developer,130000,US,100,US,L
776,MI,FT,Data Science Lead,150000,US,100,US,M
777,SE,FT,Data Engineer,163800,US,0,US,M
778,SE,FT,Data Engineer,126000,US,0,US,M
779,SE,FT,ML Engineer,260000,CA,100,CA,M
780,SE,FT,ML Engineer,110000,CA,100,CA,M
781,SE,FT,Analytics Engineer,170000,US,100,US,M
782,SE,FT,Analytics Engineer,130000,US,100,US,M
783,SE,FT,Machine Learning Engineer,247500,US,0,US,M
784,SE,FT,Machine Learning Engineer,172200,US,0,US,M
785,SE,FT,Data Scientist,239748,US,0,US,M
786,SE,FT,Data Scientist,159832,US,0,US,M
787,SE,FT,Machine Learning Engineer,163800,US,0,US,M
788,SE,FT,Machine Learning Engineer,126000,US,0,US,M
789,MI,FT,Data Scientist,128750,US,0,US,M
790,MI,FT,Data Scientist,106250,US,0,US,M
791,SE,FT,Data Engineer,252000,US,0,US,M
792,SE,FT,Data Engineer,129000,US,0,US,M
793,SE,FT,Data Science Manager,299500,US,0,US,M
794,SE,FT,Data Science Manager,245100,US,0,US,M
795,MI,FT,Data Analytics Manager,155000,US,0,US,M
796,MI,FT,Data Analytics Manager,140000,US,0,US,M
797,EX,FT,Data Engineer,167500,US,0,US,M
798,EX,FT,Data Engineer,106500,US,0,US,M
799,SE,FT,Data Architect,188500,US,100,US,M
800,SE,FT,Data Architect,117000,US,100,US,M
801,SE,FT,Data Analyst,250000,US,100,US,M
802,SE,FT,Data Analyst,138000,US,100,US,M
803,MI,FT,Data Analyst,130000,CA,100,CA,M
804,MI,FT,Data Analyst,100000,CA,100,CA,M
805,SE,FT,Deep Learning Researcher,123405,DE,0,DE,L
806,SE,FT,Data Engineer,140000,US,0,US,M
807,SE,FT,Data Engineer,120000,US,0,US,M
808,SE,FT,BI Analyst,160000,US,0,US,M
809,SE,FT,BI Analyst,135000,US,0,US,M
810,MI,FT,Data Science Manager,104500,US,0,US,M
811,MI,FT,Data Science Manager,70000,US,0,US,M
812,MI,FT,Data Science Consultant,90000,US,0,US,M
813,MI,FT,Data Science Consultant,70000,US,0,US,M
814,SE,FT,Data Engineer,153600,US,100,US,M
815,SE,FT,Data Engineer,106800,US,100,US,M
816,EN,FT,Data Engineer,125000,US,0,US,M
817,EN,FT,Data Engineer,90000,US,0,US,M
818,MI,FT,Research Scientist,185000,US,100,US,M
819,MI,FT,Research Scientist,125000,US,100,US,M
820,SE,FT,Data Analyst,127000,US,100,US,M
821,SE,FT,Data Analyst,94000,US,100,US,M
822,SE,FT,Data Scientist,210550,US,0,US,M
823,SE,FT,Data Scientist,153300,US,0,US,M
824,MI,FT,Data Scientist,200000,US,100,US,M
825,MI,FT,Data Scientist,150000,US,100,US,M
826,SE,FT,Data Analyst,161500,US,100,US,M
827,SE,FT,Data Analyst,119500,US,100,US,M
828,SE,FT,Data Analyst,175000,US,0,US,M
829,SE,FT,Data Analyst,145000,US,0,US,M
830,SE,FT,Data Scientist,175000,US,0,US,M
831,SE,FT,Data Scientist,148750,US,0,US,M
832,SE,FT,Data Analytics Specialist,105000,US,0,US,M
833,SE,FT,Data Analytics Specialist,85000,US,0,US,M
834,SE,FT,Research Scientist,215000,US,0,US,M
835,SE,FT,Research Scientist,146300,US,0,US,M
836,EN,FT,AI Developer,214618,DE,100,DE,L
837,MI,FT,Data Engineer,72000,MX,100,MX,M
838,MI,FT,Data Engineer,60000,MX,100,MX,M
839,SE,FT,Machine Learning Engineer,153400,US,0,US,M
840,SE,FT,Machine Learning Engineer,122700,US,0,US,M
841,MI,FT,Data Engineer,260000,US,0,US,M
842,MI,FT,Data Engineer,175000,US,0,US,M
843,SE,FT,Data Scientist,186300,US,100,US,M
844,SE,FT,Data Scientist,123900,US,100,US,M
845,MI,FT,Research Scientist,340000,US,100,US,M
846,MI,FT,Research Scientist,150000,US,100,US,M
847,SE,FT,Machine Learning Engineer,153400,US,0,US,M
848,SE,FT,Machine Learning Engineer,122700,US,0,US,M
849,MI,FT,Data Engineer,250000,US,0,US,M
850,MI,FT,Data Engineer,175000,US,0,US,M
851,MI,FT,Data Scientist,64385,FR,50,FR,M
852,SE,FT,Data Analyst,185900,US,0,US,M
853,SE,FT,Data Analyst,121700,US,0,US,M
854,SE,FT,Data Analyst,153600,US,0,US,M
855,SE,FT,Data Analyst,106800,US,0,US,M
857,EN,FT,Data Analyst,100000,UZ,100,US,L
858,SE,FT,Machine Learning Engineer,247500,US,0,US,M
859,SE,FT,Machine Learning Engineer,172200,US,0,US,M
860,EX,FT,Data Engineer,310000,US,100,US,M
861,EX,FT,Data Engineer,239000,US,100,US,M
862,SE,FT,Data Analyst,125000,US,0,US,M
863,SE,FT,Data Analyst,110000,US,0,US,M
864,EN,FT,Data Analyst,150000,US,0,US,M
865,EN,FT,Data Analyst,100000,US,0,US,M
866,SE,FT,Data Scientist,149076,US,0,US,M
867,SE,FT,Data Scientist,82365,US,0,US,M
868,MI,FT,Data Engineer,146000,US,0,US,M
869,MI,FT,Data Engineer,75000,US,0,US,M
870,SE,FT,Machine Learning Engineer,139500,US,0,US,M
871,SE,FT,Machine Learning Engineer,109400,US,0,US,M
872,SE,FT,Data Engineer,139500,US,0,US,M
873,SE,FT,Data Engineer,109400,US,0,US,M
874,MI,FT,Data Engineer,149600,US,0,US,M
875,MI,FT,Data Engineer,102000,US,0,US,M
876,MI,FT,Data Analyst,97218,GB,0,GB,M
877,MI,FT,Data Analyst,48609,GB,0,GB,M
878,SE,FT,Data Engineer,252000,US,0,US,M
879,SE,FT,Data Engineer,129000,US,0,US,M
880,SE,FT,Data Analyst,95000,US,0,US,M
881,SE,FT,Data Analyst,85500,US,0,US,M
882,SE,FT,Data Analyst,185900,US,0,US,M
883,SE,FT,Data Analyst,121700,US,0,US,M
884,EN,FT,Research Scientist,150000,US,0,US,M
885,EN,FT,Research Scientist,100000,US,0,US,M
886,MI,FT,Data Engineer,145000,US,0,US,M
887,MI,FT,Data Engineer,125000,US,0,US,M
888,MI,FT,Data Scientist,150000,US,100,US,M
889,MI,FT,Data Scientist,97750,US,100,US,M
890,SE,FT,Data Scientist,201000,US,0,US,M
891,SE,FT,Data Scientist,122000,US,0,US,M
892,SE,FT,Data Engineer,252000,US,0,US,M
893,SE,FT,Data Engineer,129000,US,0,US,M
894,SE,FT,Data Analyst,120000,US,100,US,M
895,SE,FT,Data Analyst,75000,US,100,US,M
896,MI,FT,Data Scientist,116990,US,100,US,M
897,MI,FT,Data Scientist,82920,US,100,US,M
898,SE,FT,Data Scientist,185900,US,0,US,M
899,SE,FT,Data Scientist,129300,US,0,US,M
900,MI,FT,Machine Learning Scientist,200000,US,0,US,S
901,MI,FT,Machine Learning Scientist,125000,US,0,US,S
902,SE,FT,Data Scientist,201000,US,0,US,M
903,SE,FT,Data Scientist,122000,US,0,US,M
904,SE,FT,Machine Learning Engineer,204500,US,0,US,M
905,SE,FT,Machine Learning Engineer,142200,US,0,US,M
906,SE,FT,Data Manager,155000,US,0,US,M
907,SE,FT,Data Manager,140000,US,0,US,M
908,MI,FT,Machine Learning Infrastructure Engineer,205920,US,0,US,M
909,MI,FT,Machine Learning Infrastructure Engineer,171600,US,0,US,M
910,SE,FT,Data Engineer,121500,US,100,US,M
911,SE,FT,Data Engineer,78000,US,100,US,M
912,MI,FT,Data Engineer,154000,US,0,US,M
913,MI,FT,Data Engineer,116000,US,0,US,M
914,SE,FT,Data Scientist,190000,US,0,US,M
915,SE,FT,Data Scientist,136000,US,0,US,M
916,MI,FT,Data Analyst,78990,GB,100,GB,M
917,MI,FT,Data Analyst,43809,GB,100,GB,M
918,SE,FT,Data Analyst,180000,US,0,US,M
919,SE,FT,Data Analyst,110000,US,0,US,M
920,SE,FT,Data Scientist,275300,US,100,US,M
921,SE,FT,Data Scientist,183000,US,100,US,M
922,SE,FT,Data Engineer,170000,US,0,US,M
923,SE,FT,Data Engineer,140000,US,0,US,M
924,SE,FT,Data Engineer,154000,US,0,US,M
925,SE,FT,Data Engineer,116000,US,0,US,M
926,SE,FT,Data Engineer,160000,US,100,US,M
927,SE,FT,Data Engineer,130000,US,100,US,M
928,MI,FT,Data Engineer,200000,US,0,US,M
929,MI,FT,Data Engineer,120000,US,0,US,M
930,SE,FT,Data Scientist,175000,US,100,US,M
931,SE,FT,Data Scientist,160000,US,100,US,M
932,MI,FT,Data Engineer,127599,GB,0,GB,M
933,MI,FT,Data Engineer,103294,GB,0,GB,M
934,SE,FT,Data Engineer,153600,US,0,US,M
935,SE,FT,Data Engineer,106800,US,0,US,M
936,EN,FT,Data Analyst,85000,US,100,US,M
937,EN,FT,Data Analyst,75000,US,100,US,M
938,SE,FT,Data Scientist,225000,US,0,US,M
939,SE,FT,Data Scientist,156400,US,0,US,M
940,SE,FT,Analytics Engineer,150000,US,0,US,M
941,SE,FT,Analytics Engineer,120000,US,0,US,M
942,SE,FT,Machine Learning Engineer,163800,US,0,US,M
943,SE,FT,Machine Learning Engineer,126000,US,0,US,M
944,SE,FT,Data Analyst,145000,US,100,US,M
945,SE,FT,Data Analyst,90000,US,100,US,M
946,SE,FT,Machine Learning Engineer,204500,US,0,US,M
947,SE,FT,Machine Learning Engineer,142200,US,0,US,M
948,SE,FT,Data Analyst,95000,US,0,US,M
949,SE,FT,Data Analyst,85500,US,0,US,M
950,SE,FT,Data Engineer,167500,US,0,US,M
951,SE,FT,Data Engineer,106500,US,0,US,M
952,SE,FT,Data Engineer,163800,US,0,US,M
953,SE,FT,Data Engineer,126000,US,0,US,M
954,MI,FT,Data Analytics Manager,155000,US,0,US,M
955,MI,FT,Data Analytics Manager,140000,US,0,US,M
956,SE,FT,Research Scientist,250000,US,0,US,M
957,SE,FT,Research Scientist,200000,US,0,US,M
958,SE,FT,Data Scientist,260000,US,0,US,M
959,SE,FT,Data Scientist,186000,US,0,US,M
960,SE,FT,Data Engineer,160000,US,100,US,M
961,SE,FT,Data Engineer,130000,US,100,US,M
962,SE,FT,Research Scientist,200000,US,0,US,M
963,SE,FT,Research Scientist,150000,US,0,US,M
964,SE,FT,Data Scientist,48289,ES,0,ES,M
965,SE,FT,Data Scientist,38631,ES,0,ES,M
966,SE,FT,Data Scientist,150000,US,0,US,M
967,SE,FT,Data Scientist,120000,US,0,US,M
968,EN,FT,Data Analyst,30000,IN,50,IN,M
969,MI,FT,Research Scientist,185000,US,0,US,M
970,MI,FT,Research Scientist,125000,US,0,US,M
971,EN,PT,Data Analyst,34320,US,100,US,S
972,MI,FT,Business Data Analyst,9289,BR,100,BR,M
973,SE,FT,Head of Data,75116,PT,100,PT,L
974,EX,FT,Data Science Manager,106000,UZ,0,RU,L
975,SE,FT,Data Analyst,175000,US,100,US,M
976,SE,FT,Data Analyst,130000,US,100,US,M
977,SE,FT,Data Analyst,122000,US,100,US,M
978,SE,FT,Data Analyst,93800,US,100,US,M
979,SE,FT,Data Science Manager,150000,MX,100,MX,M
980,SE,FT,Data Science Manager,90000,MX,100,MX,M
981,SE,FT,Data Analyst,165000,US,100,US,M
982,SE,FT,Data Analyst,112000,US,100,US,M
983,EN,FT,Computer Vision Engineer,220000,US,0,US,M
984,SE,FT,BI Data Analyst,71897,DE,100,DE,M
985,EN,FT,AI Developer,64385,DE,0,DE,M
986,SE,FT,Machine Learning Engineer,204500,US,0,US,M
987,SE,FT,Machine Learning Engineer,142200,US,0,US,M
988,SE,FT,Data Analyst,15806,IN,100,IN,S
989,MI,FT,Machine Learning Engineer,200000,US,0,US,M
990,MI,FT,Machine Learning Engineer,175000,US,0,US,M
991,SE,FT,Data Engineer,185900,US,0,US,M
992,SE,FT,Data Engineer,129300,US,0,US,M
993,SE,FT,Data Analyst,185900,US,0,US,M
994,SE,FT,Data Analyst,121700,US,0,US,M
995,SE,FT,Machine Learning Engineer,204500,US,0,US,M
996,SE,FT,Machine Learning Engineer,142200,US,0,US,M
997,MI,FT,Data Scientist,40000,FR,50,FR,L
998,SE,FT,Data Science Consultant,29453,TH,50,TH,M
999,SE,FT,Data Analyst,180180,US,0,US,M
1000,SE,FT,Data Analyst,106020,US,0,US,M
1001,SE,FT,Data Scientist,136000,US,100,US,M
1002,SE,FT,Data Scientist,104000,US,100,US,M
1003,SE,FT,Data Analyst,125000,US,0,US,M
1004,SE,FT,Data Analyst,110000,US,0,US,M
1005,SE,FT,Machine Learning Engineer,153400,US,0,US,M
1006,SE,FT,Machine Learning Engineer,122700,US,0,US,M
1007,EX,FT,Data Engineer,310000,US,100,US,M
1008,EX,FT,Data Engineer,239000,US,100,US,M
1009,SE,FT,Data Analyst,152380,US,0,US,M
1010,SE,FT,Data Analyst,121904,US,0,US,M
1011,SE,FT,Data Scientist,185900,US,0,US,M
1012,SE,FT,Data Scientist,129300,US,0,US,M
1013,SE,FT,Machine Learning Engineer,247500,US,0,US,M
1014,SE,FT,Machine Learning Engineer,172200,US,0,US,M
1015,SE,FT,Data Architect,168400,US,0,US,M
1016,SE,FT,Data Architect,105200,US,0,US,M
1017,SE,FT,Machine Learning Engineer,128280,US,0,US,M
1018,SE,FT,Machine Learning Engineer,106900,US,0,US,M
1019,SE,FT,Lead Data Scientist,192000,US,100,US,L
1020,MI,FT,Data Engineer,140000,US,0,US,M
1021,MI,FT,Data Engineer,100000,US,0,US,M
1022,SE,FT,Research Engineer,107309,DE,100,DE,S
1023,SE,FT,Research Engineer,85847,DE,100,DE,S
1024,SE,FT,Machine Learning Engineer,275000,DE,0,DE,M
1025,SE,FT,Machine Learning Engineer,174000,DE,0,DE,M
1026,SE,FT,Data Engineer,139500,US,0,US,M
1027,SE,FT,Data Engineer,109400,US,0,US,M
1028,SE,FT,Machine Learning Engineer,139500,US,0,US,M
1029,SE,FT,Machine Learning Engineer,109400,US,0,US,M
1030,SE,FT,Data Analyst,170500,US,100,US,M
1031,SE,FT,Data Analyst,85000,US,100,US,M
1032,SE,FT,Data Manager,72946,GB,0,GB,M
1033,SE,FT,Data Manager,54365,GB,0,GB,M
1034,EX,FT,Head of Data Science,160288,GB,0,GB,M
